ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
BRPETRACNPR6,PETROLEO BRASILEIRO PN,,,,46.95,63.99,63.02,57.75,48.53,72.63,77.89,80.84,80.35,83.21,79.92,80.44,79.1,77.84,78.99,75.4,74.03,73.72,74.59,77.29,76.19
BRVALEACNOR0,VALE ON,,,,,,,,,73.1,79.52,80.23,84.78,80.36,83.16,84.35,87.2,85.12,77.65,80.43,82.38,87.43,89.4,91.32,90.94
CA00208D4084,ARC RESOURCES,,,,,,16.09,9.51,25.39,41.41,41.51,51.75,47.41,47.65,48.65,41.29,38.96,39.03,41.56,45.27,41.84,45.32,42.76,38.87,41.1
CA0084741085,AGNICO-EAGLE MNS. (NYS),,,,,,20.83,25.36,26.46,26.13,35.99,65.0,72.56,73.83,69.99,74.7,67.36,72.3,73.64,71.88,68.41,72.53,69.12,66.14,60.12
CA01626P1484,ALIMENTATION COUCHE TARD,,,,,,,20.3,13.25,18.36,12.52,14.57,11.95,22.13,21.84,17.83,20.78,19.18,27.74,28.28,41.07,43.01,38.71,38.73,43.92
CA05534B7604,BCE,,,,,,42.63,31.13,39.28,64.43,74.9,68.82,69.46,72.63,73.29,70.86,57.56,60.6,65.78,68.86,74.08,75.51,69.63,71.28,66.99
CA0636711016,BANK OF MONTREAL,,,,61.75,57.15,65.06,42.62,51.79,53.27,64.65,78.85,80.86,82.26,81.54,79.75,79.28,77.85,79.52,69.48,82.35,80.01,82.4,84.23,82.17
CA0641491075,BK.OF NOVA SCOTIA,,,,70.37,61.0,73.39,50.16,54.53,74.03,75.26,75.66,87.79,86.83,89.98,88.58,87.49,83.08,75.56,73.61,73.72,80.45,81.72,79.33,78.64
CA0679011084,BARRICK GOLD (NYS),,,,,,,64.96,56.56,70.82,71.01,83.49,80.63,84.8,78.66,77.11,78.39,81.07,78.51,79.9,83.53,81.91,78.69,76.37,71.77
CA0717341071,BAUSCH HEALTH (NYS) COMPANIES,,,,,,11.05,9.16,21.6,13.13,28.03,25.42,22.2,15.95,12.82,13.63,31.69,33.57,31.16,36.73,64.43,64.14,71.32,,
CA09228F1036,BLACKBERRY (NYS),,,,,,,34.56,17.83,38.75,51.51,40.75,62.88,54.67,70.51,66.24,55.19,56.26,63.64,64.13,69.82,68.74,67.38,64.76,74.88
CA0977518616,BOMBARDIER 'B',,,,,,,12.24,19.87,35.34,57.07,65.05,68.19,75.53,80.07,74.91,69.43,70.6,72.73,73.27,76.11,72.01,69.41,68.34,64.4
CA11271J1075,BROOKFIELD A (NYS),,,,,,32.59,38.92,33.73,32.57,37.24,37.02,45.34,49.75,62.16,38.07,53.03,60.18,66.13,67.97,64.07,69.36,75.02,71.62,73.85
CA1247651088,CAE,,,,,,,18.61,27.33,28.98,42.66,31.65,47.02,51.23,44.18,50.79,55.44,56.31,47.23,44.69,41.94,60.7,65.32,56.39,62.99
CA12532H1047,CGI,,,,,,11.52,18.76,14.99,30.51,41.4,39.13,48.81,65.7,60.12,53.14,45.8,42.64,45.0,49.42,44.02,52.19,56.9,56.95,56.43
CA1254911003,CI FINANCIAL,,,,,,22.95,15.87,5.77,29.81,41.19,41.0,27.59,36.7,31.87,31.3,30.06,32.56,39.69,48.47,43.22,41.7,38.78,40.03,32.11
CA13321L1085,CAMECO,,,,,,51.39,46.58,54.27,67.0,81.73,81.97,86.4,80.11,82.19,77.11,75.6,75.45,76.75,74.6,75.88,79.2,82.54,80.64,80.27
CA1360691010,CANADIAN IMP.BK.COM.,,,,34.67,54.78,68.5,50.68,64.25,69.06,63.14,66.37,73.76,74.68,75.46,81.74,74.57,72.81,68.86,75.19,76.13,76.94,76.6,74.6,75.0
CA1363751027,CANADIAN NATIONAL RY.,,,,23.52,15.75,29.31,23.29,17.97,63.71,65.73,65.16,66.31,66.36,73.92,71.71,72.38,68.91,69.58,73.14,72.51,78.26,77.87,78.08,
CA1363851017,CANADIAN NATURAL RES.,,,,,,,39.71,23.83,27.18,44.34,48.28,39.22,45.58,42.15,49.32,46.92,48.6,65.25,59.89,59.5,60.03,56.78,56.67,49.95
CA13646K1084,CANADIAN PACIFIC KANSAS CITY,,,,48.95,56.28,58.9,52.37,40.99,53.8,52.45,57.61,58.63,60.02,62.01,51.15,47.75,44.49,53.37,62.35,73.15,83.71,82.89,83.67,84.4
CA1366812024,CANADIAN TIRE 'A',,,,,,18.67,33.82,31.94,55.28,55.34,73.42,70.83,64.18,62.43,69.9,49.31,48.58,53.29,57.8,54.38,66.21,60.71,58.25,61.36
CA1367178326,CANADIAN UTILITIES 'A',,,,,,11.68,16.8,16.38,18.96,20.63,16.41,23.89,25.15,36.2,40.0,41.32,35.66,28.93,21.88,30.58,28.06,29.89,32.74,35.92
CA15101Q1081,CELESTICA SBVTG.SHS.,,,,,,18.74,29.6,30.04,26.96,32.97,57.14,61.66,66.87,63.63,69.65,70.5,65.21,57.02,59.41,71.28,70.87,75.67,81.57,
CA2849025093,ELDORADO GOLD,,,,,,18.27,24.29,22.3,33.45,37.2,34.2,34.55,47.18,56.42,61.4,56.74,63.96,47.09,63.7,65.77,77.13,79.94,79.3,77.37
CA2918434077,EMPIRE 'A',,,,,,,,,34.95,20.54,41.76,41.16,54.94,52.96,47.18,39.79,38.56,45.04,35.8,44.61,46.63,53.05,48.66,53.42
