Company,ISIN,GICSSectorName,Country,Region
ABB Ltd,CH0012221716,Industrials,SWITZERLAND,EUR
The Swatch Group AG,CH0012255151,Consumer Discretionary,SWITZERLAND,EUR
Kudelski SA,CH0012268360,Information Technology,SWITZERLAND,EUR
Baloise Holding AG,CH0012410517,Financials,SWITZERLAND,EUR
Sonova Holding AG,CH0012549785,Health Care,SWITZERLAND,EUR
Lonza Group AG,CH0013841017,Materials,SWITZERLAND,EUR
Valiant Holding AG,CH0014786500,Financials,SWITZERLAND,EUR
Swiss Life Holding AG,CH0014852781,Financials,SWITZERLAND,EUR
Schindler Holding AG,CH0024638212,Industrials,SWITZERLAND,EUR
Kuehne + Nagel International AG,CH0025238863,Industrials,SWITZERLAND,EUR
Logitech International S.A.,CH0025751329,Information Technology,SWITZERLAND,EUR
Geberit AG,CH0030170408,Industrials,SWITZERLAND,EUR
Sulzer Ltd,CH0038388911,Industrials,SWITZERLAND,EUR
Nestle SA,CH0038863350,Consumer Staples,SWITZERLAND,EUR
Chubb Limited,CH0044328745,Financials,UNITED STATES,AMER
Transocean Ltd.,CH0048265513,Energy,UNITED STATES,AMER
Swiss Re AG,CH0126881561,Financials,SWITZERLAND,EUR
"Richemont, Cie Financiere A Br",CH0210483332,Consumer Discretionary,SWITZERLAND,EUR
UBS Group AG,CH0244767585,Financials,SWITZERLAND,EUR
Flughafen Zurich AG,CH0319416936,Industrials,SWITZERLAND,EUR
Sika AG,CH0418792922,Materials,SWITZERLAND,EUR
Georg Fischer AG,CH1169151003,Industrials,SWITZERLAND,EUR
Straumann Holding AG,CH1175448666,Health Care,SWITZERLAND,EUR
SGS SA,CH1256740924,Industrials,SWITZERLAND,EUR
Aguas Andinas S.A.,CL0000000035,Utilities,CHILE,EM
LATAM Airlines Group S.A.,CL0000000423,Industrials,CHILE,EM
Empresas CMPC S.A.,CL0000001314,Materials,CHILE,EM
AES Andes S.A.,CL0002694637,Utilities,CHILE,EM
AntarChile S.A.,CLP0362E1386,Industrials,CHILE,EM
Banco de Chile,CLP0939W1081,Financials,CHILE,EM
Banco Santander-Chile,CLP1506A1070,Financials,CHILE,EM
Compania Cervecerias Unidas S.A.,CLP249051044,Consumer Staples,CHILE,EM
CAP S.A.,CLP256251073,Materials,CHILE,EM
Banco de Credito e Inversiones,CLP321331116,Financials,CHILE,EM
COLBUN SA,CLP3615W1037,Utilities,CHILE,EM
Embotelladora Andina S.A.,CLP3697S1034,Consumer Staples,CHILE,EM
Enel Generacion Chile S.A.,CLP3710M1090,Utilities,CHILE,EM
Empresa Nacional de Telecomunicaciones S.A.,CLP371151059,Communication Services,CHILE,EM
Enel Americas S.A.,CLP371861061,Utilities,CHILE,EM
Falabella S.A.,CLP3880F1085,Consumer Discretionary,CHILE,EM
Empresas Copec S.A.,CLP7847L1080,Industrials,CHILE,EM
Quinenco SA,CLP7980K1070,Industrials,CHILE,EM
Vina Concha y Toro SA,CLP9796J1008,Consumer Staples,CHILE,EM
"China Vanke Co., Ltd.",CNE0000000T2,Real Estate,CHINA,EM
"China International Marine Containers (Group) Co., Ltd.",CNE000000644,Industrials,CHINA,EM
"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd.",CNE0000009S5,Real Estate,CHINA,EM
"Guangdong Electric Power Development Co., Ltd.",CNE000000HW5,Utilities,CHINA,EM
"Bengang Steel Plates Co., Ltd.",CNE000000RN3,Materials,CHINA,EM
"Shanghai Zhenhua Heavy Industries Co., Ltd.",CNE000000SJ9,Industrials,CHINA,EM
"Inner Mongolia Yitai Coal Co.,Ltd",CNE000000SK7,Energy,CHINA,EM
Yantai Changyu Pioneer Wine Company Limited,CNE000000T59,Consumer Staples,CHINA,EM
ZTE Corporation,CNE000000TK5,Information Technology,CHINA,EM
China Eastern Airlines Corporation Limited,CNE000000TR0,Industrials,CHINA,EM
Angang Steel Company Limited,CNE1000001V4,Materials,CHINA,EM
Anhui Conch Cement Company Limited,CNE1000001W2,Materials,CHINA,EM
Anhui Expressway Company Limited,CNE1000001X0,Industrials,CHINA,EM
"COSCO SHIPPING Energy Transportation Co., Ltd.",CNE1000002S8,Industrials,CHINA,EM
China Southern Airlines Company Limited,CNE1000002T6,Industrials,CHINA,EM
"Datang International Power Generation Co., Ltd.",CNE1000002Z3,Utilities,CHINA,EM
Dongfang Electric Corporation Limited,CNE100000304,Industrials,CHINA,EM
Guangshen Railway Company Limited,CNE100000379,Industrials,CHINA,EM
Harbin Electric Company Limited,CNE1000003C0,Industrials,CHINA,EM
Huadian Power International Corporation Limited,CNE1000003D8,Utilities,CHINA,EM
Jiangsu Expressway Company Limited,CNE1000003J5,Industrials,CHINA,EM
Jiangxi Copper Company Limited,CNE1000003K3,Materials,CHINA,EM
Maanshan Iron & Steel Company Limited,CNE1000003R8,Materials,CHINA,EM
Sinopec Shanghai Petrochemical Company Limited,CNE1000004C8,Materials,CHINA,EM
Tsingtao Brewery Company Limited,CNE1000004K1,Consumer Staples,CHINA,EM
Yankuang Energy Group Company Limited,CNE1000004Q8,Materials,CHINA,EM
"Zhejiang Expressway Co., Ltd.",CNE1000004S4,Industrials,CHINA,EM
